Total Population,Male,Female,Total HH,HH Farm,HH Non-Farm,Cultivable Area,Drip/Sprinkler Farmers,Irrigated Area,Unirrigated Area,Kuccha HH,PMAY HH,Waitlisted HH,Benefitted HH,Waitlisted Specific HH,Saubhagya HH,Vocational Training,Total Farmers,Soil Testing Farmers,Labour Budget,Piped Water HH,Color
0.332533153,0.366462753,0.300447367,0.259629434,-0.096386779,0.657042763,-0.759000942,-0.100069748,-0.572263281,-0.55006009,-0.163983299,1.590865069,-0.011416503,1.855612751,0.488867768,-0.159087774,0.744245526,0.793685422,0.116659413,4.701895234,0.766677796,green
-0.150988522,-0.208892258,-0.097175553,-0.108177216,-0.263264304,0.549749093,-0.359775342,-0.212378965,0.069419359,-0.402547473,0.027347974,0.37307785,3.324451448,-0.200906577,0.497477277,-0.159087774,0.002421353,-0.151046822,-0.395613601,-0.362472299,-0.309976401,red
0.650230413,0.566965257,0.725215698,0.673515699,-0.178361704,1.489151821,-0.492476399,-0.228423139,-0.071578172,-0.413925857,0.076723786,0.508387541,4.195760241,-0.188737824,0.643838921,-0.159087774,0.05080119,0.169943284,-0.344949237,-0.260496757,-0.180512949,green
0.516295307,0.520056804,0.511493379,0.802206513,2.131574563,-0.418809523,0.084785913,0.124548688,-0.132005685,0.258831235,0.514934121,0.621145617,-0.4470709,3.729600778,-0.406521114,0.022174493,-0.05670956,2.039085347,-0.367466732,1.025424113,0.336136548,green
0.973010031,0.982499432,0.961686637,1.157974346,-0.583356867,2.403480485,-0.303653835,-0.196334791,0.066541858,-0.243250102,-0.163983299,-0.032851224,-0.297703678,0.967293751,-0.415130623,-0.143551008,0.771123213,-0.751340007,-0.353393298,-0.23286886,1.368833388,green
0.665776452,0.699180677,0.633265398,0.835832178,-0.575549731,1.934653797,-0.383451603,-0.035893052,0.037766852,-0.325540198,-0.188671205,-0.055402839,-0.247914604,0.82126871,-0.466787674,-0.12283532,1.539825073,-0.297993591,-0.344949237,-0.403016312,0.396352108,green
-0.96785315,-0.977070071,-0.956652789,-0.901493818,-0.294492847,-0.841569906,-0.600369996,-0.244467313,-0.734899616,-0.312993499,-0.207187135,-0.23581576,-0.384834558,-0.298256604,1.720027482,-0.159087774,-0.217975684,1.159489082,-0.46879546,0.448982927,-0.371396272,red
0.147475496,0.115315725,0.176763699,0.438966311,2.584388432,-0.359914628,1.174095592,-0.220401052,0.55557309,1.264842897,0.126099599,-0.23581576,-0.310150947,2.622244217,5.921467622,-0.159087774,1.088279925,5.052015207,-0.449092652,2.269711482,0.42886851,green
-1.287244529,-1.275333113,-1.294632271,-1.271791258,-0.329624958,-1.021753297,-0.9967106,-0.244467313,-0.533675997,-0.836551535,-0.182499229,-0.23581576,-0.459518169,-0.553800426,-0.475397182,-0.159087774,-0.330861972,-0.849825608,-0.190141458,-0.383327749,-0.507483435,red
-0.389859391,-0.403375536,-0.376276257,-0.324875943,1.410390405,-0.737191825,-0.489556327,-0.124136009,0.236314395,-0.594760883,-0.052887721,-0.23581576,-0.459518169,-0.249581591,-0.475397182,-0.159087774,-0.330861972,0.022996515,0.00125725,-0.345282263,0.669730746,red
